time_step,x=0.0000,x=0.0092,x=0.0183,x=0.0275,x=0.0367,x=0.0459,x=0.0550,x=0.0642,x=0.0734,x=0.0826,x=0.0917,x=0.1009,x=0.1101,x=0.1193,x=0.1284,x=0.1376,x=0.1468,x=0.1560,x=0.1651,x=0.1743,x=0.1835,x=0.1927,x=0.2018,x=0.2110,x=0.2202,x=0.2294,x=0.2385,x=0.2477,x=0.2569,x=0.2661,x=0.2752,x=0.2844,x=0.2936,x=0.3028,x=0.3119,x=0.3211,x=0.3303,x=0.3394,x=0.3486,x=0.3578,x=0.3670,x=0.3761,x=0.3853,x=0.3945,x=0.4037,x=0.4128,x=0.4220,x=0.4312,x=0.4404,x=0.4495,x=0.4587,x=0.4679,x=0.4771,x=0.4862,x=0.4954,x=0.5046,x=0.5138,x=0.5229,x=0.5321,x=0.5413,x=0.5505,x=0.5596,x=0.5688,x=0.5780,x=0.5872,x=0.5963,x=0.6055,x=0.6147,x=0.6239,x=0.6330,x=0.6422,x=0.6514,x=0.6606,x=0.6697,x=0.6789,x=0.6881,x=0.6972,x=0.7064,x=0.7156,x=0.7248,x=0.7339,x=0.7431,x=0.7523,x=0.7615,x=0.7706,x=0.7798,x=0.7890,x=0.7982,x=0.8073,x=0.8165,x=0.8257,x=0.8349,x=0.8440,x=0.8532,x=0.8624,x=0.8716,x=0.8807,x=0.8899,x=0.8991,x=0.9083,x=0.9174,x=0.9266,x=0.9358,x=0.9450,x=0.9541,x=0.9633,x=0.9725,x=0.9817,x=0.9908,x=1.0000
0,1.3887943864964021e-11,3.446814308657862e-11,8.411764052466997e-11,2.018578010915483e-10,4.763138985611834e-10,1.1051729095208612e-09,2.5214854580448877e-09,5.656814863610872e-09,1.2478912036019957e-08,2.706890836252143e-08,5.77369742752404e-08,1.2109509722053476e-07,2.497401453192955e-07,5.064533176535375e-07,1.0099031835725213e-06,1.9802012144896914e-06,3.8179317823689555e-06,7.238294791732872e-06,1.3493780123340084e-05,2.4735474870619985e-05,4.458575610212353e-05,7.902441327542497e-05,0.00013772592079489164,0.00023602573006380572,0.00039773359449690504,0.0006590440767511847,0.0010738062008565864,0.0017203888311587384,0.002710295111696525,0.004198515971648562,0.006395349716100421,0.009579041321661352,0.014108117106710442,0.02043173869308963,0.02909583705106458,0.040742309770372194,0.056098299606646244,0.07595266365585479,0.10111732712180965,0.13237239107829418,0.1703956512334674,0.21567949607071532,0.26844076887046536,0.3285317510470078,0.39536250823721064,0.4678459546762726,0.54437670729348,0.6228528423435918,0.7007459999777357,0.7752201713094166,0.8432935182229878,0.902031534240624,0.9487546969817409,0.9812403936458501,0.9978980122936552,0.9978980122936552,0.98124039364585,0.9487546969817409,0.9020315342406237,0.8432935182229871,0.7752201713094161,0.7007459999777357,0.6228528423435914,0.544376707293479,0.46784595467627216,0.39536250823721064,0.3285317510470074,0.26844076887046464,0.21567949607071502,0.1703956512334674,0.13237239107829402,0.10111732712180929,0.07595266365585465,0.056098299606646244,0.040742309770372104,0.02909583705106446,0.020431738693089584,0.014108117106710442,0.009579041321661335,0.006395349716100392,0.004198515971648551,0.002710295111696525,0.0017203888311587323,0.0010738062008565808,0.000659044076751183,0.00039773359449690504,0.00023602573006380488,0.00013772592079489067,7.902441327542482e-05,4.458575610212353e-05,2.4735474870619853e-05,1.3493780123339987e-05,7.238294791732846e-06,3.8179317823689555e-06,1.9802012144896876e-06,1.0099031835725124e-06,5.064533176535339e-07,2.497401453192955e-07,1.2109509722053455e-07,5.7736974275239784e-08,2.7068908362521333e-08,1.2478912036019957e-08,5.656814863610831e-09,2.52148545804487e-09,1.1051729095208572e-09,4.763138985611834e-10,2.0185780109154757e-10,8.411764052466938e-11,3.4468143086578377e-11,1.3887943864964021e-11
1,1.3887943864964021e-11,3.465117707899798e-11,8.456392533923381e-11,2.0292781771078905e-10,4.788366061215267e-10,1.111021364940557e-09,2.5348180094594856e-09,5.686701915603044e-09,1.2544791573484483e-08,2.7211704209449447e-08,5.8041327640188426e-08,1.2173297585559898e-07,2.51054750501494e-07,5.091174136353659e-07,1.0152120467131544e-06,1.9906040129062022e-06,3.837976300570055e-06,7.276273267563124e-06,1.3564538100464797e-05,2.4865105739970894e-05,4.481928211690469e-05,7.943808300238834e-05,0.00013844646456659152,0.00023725982811806297,0.0003998119179645096,0.0006624854984401037,0.0010794089957928727,0.0017293566266364624,0.002724405564156841,0.004220338992952444,0.006428518663362287,0.009628573823295525,0.01418077098087061,0.020536371822387895,0.02924371798316911,0.0409472996500249,0.05637679974302807,0.07632320383727322,0.10159966843256617,0.13298604645464715,0.1711577993844081,0.21660238542243138,0.269528870578168,0.32977909777460385,0.39675080206402485,0.46934408311180575,0.5459422130486601,0.624435617583649,0.702294035345978,0.7766866620682584,0.8446441472402569,0.9032504702111022,0.9498478948548404,0.9822352112716037,0.9988388979537192,0.9988388979537192,0.9822352112716036,0.9498478948548404,0.9032504702111018,0.8446441472402563,0.776686662068258,0.702294035345978,0.6244356175836485,0.5459422130486591,0.4693440831118053,0.39675080206402485,0.3297790977746034,0.26952887057816727,0.21660238542243107,0.1711577993844081,0.13298604645464698,0.1015996684325658,0.07632320383727308,0.05637679974302807,0.04094729965002481,0.02924371798316899,0.02053637182238785,0.01418077098087061,0.009628573823295506,0.006428518663362259,0.004220338992952433,0.002724405564156841,0.0017293566266364563,0.001079408995792867,0.000662485498440102,0.0003998119179645096,0.00023725982811806213,0.00013844646456659054,7.943808300238819e-05,4.481928211690469e-05,2.486510573997076e-05,1.35645381004647e-05,7.276273267563099e-06,3.837976300570055e-06,1.9906040129061984e-06,1.0152120467131455e-06,5.091174136353623e-07,2.51054750501494e-07,1.2173297585559876e-07,5.8041327640187804e-08,2.721170420944935e-08,1.2544791573484483e-08,5.686701915603004e-09,2.534818009459468e-09,1.1110213649405532e-09,4.788366061215267e-10,2.029278177107883e-10,8.456392533923322e-11,3.465117707899773e-11,1.3887943864964021e-11
2,1.3887943864964021e-11,3.483517262996854e-11,8.501257780247429e-11,2.0400350607290435e-10,4.81372674174226e-10,1.1169007685236806e-09,2.548221055113368e-09,5.71674686629156e-09,1.2611018894848752e-08,2.7355253318723675e-08,5.834728531681388e-08,1.2237421447125484e-07,2.523762754297193e-07,5.11795523184323e-07,1.0205488167885437e-06,2.001061460056585e-06,3.858126051793493e-06,7.3144510065768205e-06,1.3635667103042556e-05,2.4995415937362877e-05,4.505403119963041e-05,7.985391799066601e-05,0.00013917077753038785,0.000238500377482427,0.0004019010977772162,0.0006659448805503955,0.001085040997842641,0.0017383711004701687,0.002738589312021315,0.004242275046879566,0.006461858717052801,0.009678360396181824,0.014253794568977076,0.020641531543959344,0.029392331940788406,0.041153284871887824,0.05665661514178205,0.07669543050659629,0.10208410067419331,0.1336021973395916,0.1719227984962135,0.21752836922298302,0.2706201297105317,0.3310294235966453,0.3981416195752935,0.47084400868998505,0.5475085757638062,0.6260182017205231,0.7038408582786939,0.7781510765854299,0.8459920843684513,0.904466370882564,0.9509379394575292,0.9832268874888799,0.999776680993948,0.999776680993948,0.9832268874888798,0.9509379394575292,0.9044663708825637,0.8459920843684506,0.7781510765854295,0.7038408582786939,0.6260182017205227,0.5475085757638052,0.4708440086899846,0.3981416195752935,0.33102942359664483,0.27062012971053095,0.21752836922298271,0.1719227984962135,0.13360219733959144,0.10208410067419295,0.07669543050659615,0.05665661514178205,0.041153284871887734,0.029392331940788285,0.0206415315439593,0.014253794568977076,0.009678360396181805,0.006461858717052772,0.004242275046879555,0.002738589312021315,0.0017383711004701626,0.0010850409978426353,0.0006659448805503938,0.0004019010977772162,0.00023850037748242617,0.00013917077753038685,7.985391799066586e-05,4.505403119963041e-05,2.4995415937362745e-05,1.363566710304246e-05,7.314451006576795e-06,3.858126051793493e-06,2.001061460056581e-06,1.0205488167885346e-06,5.117955231843194e-07,2.523762754297193e-07,1.2237421447125463e-07,5.834728531681325e-08,2.735525331872358e-08,1.2611018894848752e-08,5.716746866291519e-09,2.54822105511335e-09,1.1169007685236766e-09,4.81372674174226e-10,2.040035060729036e-10,8.501257780247369e-11,3.483517262996829e-11,1.3887943864964021e-11
3,1.3887943864964021e-11,3.502013479422376e-11,8.546361047331551e-11,2.0508489624029345e-10,4.839221734747449e-10,1.1228112840315715e-09,2.5616949677221664e-09,5.746950549853806e-09,1.2677595836031964e-08,2.7499559663749033e-08,5.865485576152527e-08,1.2301883076544138e-07,2.5370475652672304e-07,5.144877200119959e-07,1.025913640492308e-06,2.011573843017831e-06,3.878381588493173e-06,7.352829054221442e-06,1.3707169076494219e-05,2.5126409022586898e-05,4.529000975539777e-05,8.027192957213937e-05,0.00013989887939819956,0.00023974741186758678,0.00040400119060566154,0.000669422316710739,0.0010907023589849614,0.0017474324949209323,0.00275284673427595,0.00426432471473115,0.006495370750271287,0.009728402322227466,0.014327189706583745,0.020747220413118276,0.02954168236810981,0.0413602699055546,0.05693775134451997,0.07706935015518787,0.10257063090583897,0.13422085063998418,0.17269065423949248,0.21845745053471508,0.27171454527708777,0.33228272230525674,0.39953494887913393,0.4723457144063892,0.5490757750196147,0.6276005734612604,0.7053864493693611,0.7796133995625482,0.8473373195261839,0.9056792312477636,0.9520248297865718,0.9842154238573593,1.0007113641671994,1.0007113641671994,0.9842154238573592,0.9520248297865718,0.9056792312477633,0.8473373195261832,0.7796133995625477,0.7053864493693611,0.62760057346126,0.5490757750196137,0.4723457144063888,0.39953494887913393,0.3322827223052563,0.27171454527708705,0.21845745053471477,0.17269065423949248,0.134220850639984,0.10257063090583861,0.07706935015518773,0.05693775134451997,0.04136026990555451,0.029541682368109688,0.02074722041311823,0.014327189706583745,0.009728402322227447,0.006495370750271259,0.004264324714731139,0.00275284673427595,0.0017474324949209262,0.0010907023589849557,0.0006694223167107373,0.00040400119060566154,0.00023974741186758591,0.00013989887939819853,8.027192957213922e-05,4.529000975539777e-05,2.5126409022586766e-05,1.3707169076494122e-05,7.352829054221416e-06,3.878381588493173e-06,2.011573843017827e-06,1.0259136404922989e-06,5.144877200119923e-07,2.5370475652672304e-07,1.2301883076544117e-07,5.865485576152464e-08,2.7499559663748937e-08,1.2677595836031964e-08,5.7469505498537645e-09,2.5616949677221486e-09,1.1228112840315676e-09,4.839221734747449e-10,2.050848962402927e-10,8.546361047331492e-11,3.502013479422351e-11,1.3887943864964021e-11
4,1.3887943864964021e-11,3.520606865308468e-11,8.59170359772894e-11,2.0617201843469064e-10,4.864851751532432e-10,1.1287530760920742e-09,2.575240121972052e-09,5.777313804873961e-09,1.274452424264464e-08,2.7644627238889186e-08,5.896404747530389e-08,1.2366684252931475e-07,2.550402304069659e-07,5.171940782176848e-07,1.031306665289144e-06,2.0221414503749394e-06,3.89874346602318e-06,7.391408461429231e-06,1.3779045976440523e-05,2.52580885740859e-05,4.552722422284115e-05,8.069212913797835e-05,0.0001406307899849844,0.00024100096516024025,0.00040611225341590483,0.0006729179010368125,0.0010963932319868444,0.001756541053499811,0.0027671782118482147,0.004286488580754666,0.006529055640472673,0.009778700889586498,0.014400958237884794,0.02085344099660465,0.02969177272357435,0.04156825923702285,0.05722021390952545,0.07744496928777392,0.10305926619117416,0.13484201325123746,0.17346137225007827,0.21938963235680886,0.2728121161963719,0.3335389875827118,0.4009307779728155,0.4738491831680819,0.5506437903522747,0.6291827115242062,0.7069307892754124,0.7810736158011083,0.8486798427450644,0.9068890464061446,0.9531085649292182,0.9852008220111091,1.0016429502913033,1.0016429502913033,0.985200822011109,0.9531085649292182,0.9068890464061443,0.8486798427450637,0.7810736158011079,0.7069307892754124,0.6291827115242058,0.5506437903522737,0.47384918316808144,0.4009307779728155,0.33353898758271133,0.2728121161963712,0.21938963235680856,0.17346137225007827,0.1348420132512373,0.1030592661911738,0.07744496928777378,0.05722021390952545,0.04156825923702276,0.029691772723574227,0.020853440996604605,0.014400958237884794,0.009778700889586479,0.006529055640472644,0.004286488580754655,0.0027671782118482147,0.001756541053499805,0.0010963932319868388,0.0006729179010368108,0.00040611225341590483,0.00024100096516023939,0.00014063078998498337,8.06921291379782e-05,4.552722422284115e-05,2.5258088574085767e-05,1.3779045976440425e-05,7.3914084614292045e-06,3.89874346602318e-06,2.0221414503749356e-06,1.0313066652891348e-06,5.171940782176812e-07,2.550402304069659e-07,1.2366684252931454e-07,5.8964047475303264e-08,2.764462723888909e-08,1.274452424264464e-08,5.7773138048739196e-09,2.575240121972034e-09,1.1287530760920703e-09,4.864851751532432e-10,2.0617201843468989e-10,8.591703597728881e-11,3.520606865308443e-11,1.3887943864964021e-11
5,1.3887943864964021e-11,3.539297931459984e-11,8.637286700688888e-11,2.0726490303800973e-10,4.890617507165614e-10,1.1347263102041225e-09,2.588856894530154e-09,5.807837474366279e-09,1.281180597003977e-08,2.7790460059577095e-08,5.927486900393875e-08,1.2431826764773928e-07,2.5638273387762686e-07,5.199146722904427e-07,1.0367280394188789e-06,2.0327645722288387e-06,3.919212242653003e-06,7.430190284645962e-06,1.3851299768755554e-05,2.5390458189052525e-05,4.5765681074307737e-05,8.11145281389514e-05,0.00014136652920927707,0.00024226107142401199,0.0004082343434709634,0.0006764317281338153,0.0011021137704072966,0.0017656970209742186,0.0027815841276167988,0.0043087672321583175,0.006562914269488175,0.009829257392687935,0.014475102015750424,0.020960195872625063,0.029842606479915722,0.041777257368716327,0.057504008411734434,0.07782229442234656,0.10355001359818246,0.13546569205696754,0.17423495812854217,0.22032491762473053,0.2739128412954466,0.3347982130012157,0.402329094742968,0.4753543977942999,0.5522126012545184,0.630764594640149,0.7084738587191635,0.7825317102029853,0.8500196441697431,0.9080958115635401,0.9541891440627234,0.9861830836580424,1.0025714422485141,1.0025714422485141,0.9861830836580423,0.9541891440627234,0.9080958115635398,0.8500196441697424,0.7825317102029848,0.7084738587191635,0.6307645946401486,0.5522126012545174,0.47535439779429944,0.402329094742968,0.33479821300121526,0.27391284129544585,0.22032491762473022,0.17423495812854217,0.13546569205696737,0.1035500135981821,0.07782229442234642,0.057504008411734434,0.041777257368716236,0.029842606479915594,0.02096019587262502,0.014475102015750424,0.009829257392687916,0.006562914269488147,0.004308767232158306,0.0027815841276167988,0.0017656970209742125,0.001102113770407291,0.0006764317281338136,0.0004082343434709634,0.0002422610714240111,0.000141366529209276,8.111452813895126e-05,4.5765681074307737e-05,2.5390458189052392e-05,1.3851299768755456e-05,7.430190284645936e-06,3.919212242653003e-06,2.032764572228835e-06,1.0367280394188698e-06,5.19914672290439e-07,2.5638273387762686e-07,1.2431826764773904e-07,5.9274869003938115e-08,2.7790460059577e-08,1.281180597003977e-08,5.807837474366238e-09,2.588856894530136e-09,1.1347263102041186e-09,4.890617507165614e-10,2.0726490303800898e-10,8.637286700688828e-11,3.5392979314599593e-11,1.3887943864964021e-11
6,1.3887943864964021e-11,3.558087191368595e-11,8.683111632192297e-11,2.0836358059319302e-10,4.916519720502152e-10,1.1407311527423478e-09,2.6025456640550325e-09,5.83852240579849e-09,1.287944288336425e-08,2.793706216242615e-08,5.9587328938262725e-08,1.2497312409978087e-07,2.577323039396176e-07,5.226495771111247e-07,1.0421779119005446e-06,2.0434435002043484e-06,3.939788479582837e-06,7.469175585859868e-06,1.3923932429620506e-05,2.5523521483527336e-05,4.6005386816034015e-05,8.153913808573721e-05,0.00014210611709373005,0.00024352776490037533,0.00041036751833235677,0.0006799638930990019,0.0011078641286013959,0.0017749006433743283,0.0027960648664214173,0.004331161259125586,0.006596947523546082,0.009880073132264007,0.014549622901762722,0.021067487630893764,0.029994187124199153,0.04198726881950668,0.05778914044271478,0.07820133209006674,0.10404288019894722,0.1360918939286391,0.1750114174397053,0.22126330920967938,0.2750167193094268,0.3360603920226956,0.40372988696579976,0.47686134101715066,0.5537821871766767,0.6323462015534628,0.7100156384887334,0.7839876677709261,0.8513567140579452,0.9092995220318666,0.9552665664538621,0.9871622105793757,1.0034968429849618,1.0034968429849618,0.9871622105793756,0.9552665664538621,0.9092995220318663,0.8513567140579446,0.7839876677709257,0.7100156384887334,0.6323462015534623,0.5537821871766757,0.4768613410171502,0.40372988696579976,0.33606039202269516,0.27501671930942606,0.22126330920967907,0.1750114174397053,0.13609189392863894,0.10404288019894686,0.0782013320900666,0.05778914044271478,0.04198726881950659,0.029994187124199025,0.02106748763089372,0.014549622901762722,0.009880073132263988,0.0065969475235460534,0.004331161259125574,0.0027960648664214173,0.0017749006433743222,0.0011078641286013902,0.0006799638930990001,0.00041036751833235677,0.00024352776490037443,0.000142106117093729,8.153913808573707e-05,4.6005386816034015e-05,2.55235214835272e-05,1.3923932429620406e-05,7.469175585859842e-06,3.939788479582837e-06,2.0434435002043446e-06,1.0421779119005355e-06,5.22649577111121e-07,2.577323039396176e-07,1.2497312409978063e-07,5.958732893826209e-08,2.7937062162426052e-08,1.287944288336425e-08,5.8385224057984486e-09,2.6025456640550143e-09,1.1407311527423436e-09,4.916519720502152e-10,2.0836358059319228e-10,8.683111632192238e-11,3.558087191368571e-11,1.3887943864964021e-11
7,1.3887943864964021e-11,3.57697516122693e-11,8.729179674987379e-11,2.0946808180506467e-10,4.942559114204006e-10,1.1467677709617128e-09,2.616306811207206e-09,5.869369451115323e-09,1.2947436857610569e-08,2.808443760534188e-08,5.990143591439e-08,1.256314299592033e-07,2.590889777886018e-07,5.253988679544497e-07,1.0476564325364737e-06,2.0541785274581854e-06,3.960472740958969e-06,7.508365432630715e-06,1.399694594557771e-05,2.565728209249755e-05,4.624634798832314e-05,8.196597054923791e-05,0.0001428495737656574,0.0002448010800095795,0.0004125118358616581,0.0006835144915242301,0.0011136444617243877,0.0017841521679995097,0.0028106208150726598,0.004353671254829845,0.006631156293292616,0.009931149415378497,0.014624522766251598,0.0211753188726737,0.030146518157860167,0.042198298124734725,0.058075615610644823,0.07858208883516515,0.10453787306943645,0.1367206257252078,0.1757907557121483,0.2222048099180361,0.27612374888100905,0.33732551799859706,0.4051331423073251,0.4783699954823188,0.5553525275277389,0.6339275110232476,0.7115561094389583,0.7854414736090322,0.8526910427804968,0.9105001732288123,0.9563408314584428,0.9881382046290866,1.004419155510104,1.004419155510104,0.9881382046290865,0.9563408314584428,0.9105001732288119,0.8526910427804961,0.7854414736090317,0.7115561094389583,0.6339275110232472,0.5553525275277379,0.47836999548231834,0.4051331423073251,0.3373255179985966,0.2761237488810083,0.2222048099180358,0.1757907557121483,0.13672062572520763,0.10453787306943609,0.07858208883516501,0.058075615610644823,0.04219829812473463,0.030146518157860038,0.021175318872673654,0.014624522766251598,0.009931149415378477,0.006631156293292587,0.004353671254829833,0.0028106208150726598,0.0017841521679995036,0.001113644461724382,0.0006835144915242284,0.0004125118358616581,0.0002448010800095786,0.00014284957376565634,8.196597054923776e-05,4.624634798832314e-05,2.565728209249741e-05,1.3996945945577609e-05,7.508365432630689e-06,3.960472740958969e-06,2.0541785274581816e-06,1.0476564325364646e-06,5.25398867954446e-07,2.590889777886018e-07,1.2563142995920307e-07,5.990143591438937e-08,2.8084437605341783e-08,1.2947436857610569e-08,5.869369451115282e-09,2.616306811207188e-09,1.1467677709617087e-09,4.942559114204006e-10,2.0946808180506392e-10,8.729179674987318e-11,3.576975161226905e-11,1.3887943864964021e-11
8,1.3887943864964021e-11,3.595962359942788e-11,8.775492118625535e-11,2.105784375411887e-10,4.968736414760104e-10,1.15283633300217e-09,2.6301407186597367e-09,5.900379466762161e-09,1.3015789777668788e-08,2.8232590467634268e-08,6.021719861395473e-08,1.2629320339496696e-07,2.604527928160206e-07,5.281626204910714e-07,1.053163751916416e-06,2.064969948687009e-06,3.981265593889243e-06,7.547760898119028e-06,1.4070342313584953e-05,2.5791743669996292e-05,4.6488571165723265e-05,8.239503716089403e-05,0.00014359691945758126,0.00024608105135158145,0.0004146673542220543,0.0006870836194985217,0.001119454925735802,0.0017934518434247967,0.002825252362361889,0.004376297815449045,0.006665541473812889,0.009982487555455197,0.014699803488330832,0.021283692210817613,0.0302996030967432,0.04241034983623132,0.058363439540291114,0.07896457121484154,0.10503499928928539,0.13735189429276004,0.17657297843771905,0.22314942249081093,0.27723392856000384,0.3385935841696883,0.40653884832360165,0.47988034374978117,0.556923601676418,0.6355085018244693,0.7130952524922978,0.7868931129232325,0.8540226208213421,0.9116977606775191,0.9574119385208172,0.9891110677333701,1.0053383828961777,1.0053383828961777,0.98911106773337,0.9574119385208172,0.9116977606775187,0.8540226208213414,0.786893112923232,0.7130952524922978,0.6355085018244688,0.556923601676417,0.4798803437497807,0.40653884832360165,0.3385935841696879,0.2772339285600031,0.22314942249081063,0.17657297843771905,0.13735189429275987,0.10503499928928503,0.0789645712148414,0.058363439540291114,0.04241034983623122,0.030299603096743073,0.021283692210817565,0.014699803488330832,0.009982487555455177,0.006665541473812859,0.004376297815449033,0.002825252362361889,0.0017934518434247907,0.0011194549257357964,0.00068708361949852,0.0004146673542220543,0.0002460810513515806,0.0001435969194575802,8.239503716089388e-05,4.6488571165723265e-05,2.5791743669996153e-05,1.407034231358485e-05,7.5477608981190016e-06,3.981265593889243e-06,2.064969948687005e-06,1.053163751916407e-06,5.281626204910677e-07,2.604527928160206e-07,1.2629320339496673e-07,6.021719861395409e-08,2.8232590467634172e-08,1.3015789777668788e-08,5.9003794667621195e-09,2.6301407186597185e-09,1.1528363330021657e-09,4.968736414760104e-10,2.1057843754118794e-10,8.775492118625473e-11,3.595962359942763e-11,1.3887943864964021e-11
9,1.3887943864964021e-11,3.6150493091534313e-11,8.822050259497439e-11,2.1169467883273143e-10,4.995052352506601e-10,1.1589370078933435e-09,2.6440477711088687e-09,5.9315533137088135e-09,1.3084503538378782e-08,2.8381524850130655e-08,6.053462576435092e-08,1.2695846267173021e-07,2.6182378661012283e-07,5.309409107896608e-07,1.058700021421678e-06,2.0758180601355113e-06,4.0021676084586055e-06,7.587363061115474e-06,1.4144123541070078e-05,2.5926909889202376e-05,4.6732062957206776e-05,8.282634961300103e-05,0.00014434817450778128,0.0002473677137069826,0.0004168341318799137,0.0006906713736106357,0.0011252956774035915,0.0018027999195073879,0.0028399598990711864,0.004399041540180459,0.006700103964651943,0.010034088872306456,0.014775466955934206,0.02139261026980915,0.030453445471140112,0.042623428522337796,0.058652617872985105,0.07934878579916249,0.1055342659415769,0.13798570646415032,0.1773580910710384,0.22409714960309202,0.2783472568028712,0.3398645836658716,0.40794699246097677,0.48139236829453114,0.55849538895222,0.6370891527490958,0.7146330486397336,0.7883425710217463,0.8553514387775515,0.9128922800062593,0.9584798871733877,0.9900808018900942,1.0062545282776507,1.0062545282776507,0.9900808018900941,0.9584798871733877,0.912892280006259,0.8553514387775508,0.7883425710217459,0.7146330486397336,0.6370891527490954,0.558495388952219,0.4813923682945307,0.40794699246097677,0.33986458366587113,0.2783472568028705,0.2240971496030917,0.1773580910710384,0.13798570646415015,0.10553426594157654,0.07934878579916235,0.058652617872985105,0.0426234285223377,0.030453445471139984,0.0213926102698091,0.014775466955934206,0.010034088872306435,0.006700103964651914,0.004399041540180447,0.0028399598990711864,0.0018027999195073816,0.0011252956774035856,0.000690671373610634,0.0004168341318799137,0.00024736771370698166,0.00014434817450778022,8.282634961300089e-05,4.6732062957206776e-05,2.5926909889202237e-05,1.4144123541069975e-05,7.587363061115447e-06,4.0021676084586055e-06,2.0758180601355074e-06,1.058700021421669e-06,5.309409107896571e-07,2.6182378661012283e-07,1.2695846267172998e-07,6.053462576435028e-08,2.838152485013056e-08,1.3084503538378782e-08,5.931553313708772e-09,2.6440477711088505e-09,1.158937007893339e-09,4.9950523525066e-10,2.1169467883273068e-10,8.822050259497376e-11,3.615049309153406e-11,1.3887943864964021e-11
